,Qty,Price before GST
,250,2.41
,300,2.37
,500,2.2
,750,2.09
,1000,2.03
,1500,2
,2000,2
,8000,1.97
,,
"A3 Canvas Cream Tote Bag (42cmH x 38cmL x 8cmD, silkscreen print - 2c x 0c 
within A4 logo size)",30,6.92
,40,5.76
,50,5.25
,60,4.92
,70,4.65
,80,4.49
,90,4.24
,100,3.64
,150,3.19
,200,3.03
,250,2.94
,300,2.87
,500,2.69
,750,2.52
,1000,2.45
,1500,2.43
,2000,2.39
,,
"A3 Canvas Cream Tote Bag (42cmH x 38cmL x 8cmD, silkscreen print - 2c x 1c 
within A4 logo size)",30,8.14
,40,7.12
,50,6.5
,60,6.09
,70,5.79
,80,5.58
,90,5.32
,100,5.06
,150,4.65
,200,4.47
,250,4.33
,300,4.24
,500,4.03
,750,3.82
,1000,3.68
,1500,3.6
,2000,3.54
,,
"A3 Canvas Cream Tote Bag (42cmH x 38cmL x 8cmD, silkscreen print - 2c x 2c 
within A4 logo size)",30,10.05
,40,8.89
,50,8.23
,60,7.71
,70,7.33
,80,7.06
,90,6.73
,100,6.4
,150,5.89
,200,5.65
,250,5.48
,300,5.37
,500,5.1
,750,4.83
,1000,4.65
,1500,4.52
,2000,4.3
,,
"A3 Canvas Cream Tote Bag (42cmH x 38cmL x 8cmD, full colour heat transfer print 
8cm x 8cm)",30,5.74
,40,5.18
,50,4.56
,60,4.33
,70,4.17
,80,4.05
,90,3.9
,100,3.59
,150,3.23
,200,3.13
,250,3.07
,300,2.89
,500,2.62
,750,2.49
,1000,2.42
,1500,2.39
,2000,2.37
,,
"A3 Canvas Cream Tote Bag (42cmH x 38cmL x 8cmD,  A5 logo size heat transfer on 1 side",30,6.71
,40,6.36
,50,5.4
,60,5.25
,70,5.16
,80,4.93
,90,4.8
,100,4.48
,150,4.16
,200,4.09
,250,4.05
,300,3.89
,500,3.62
,750,3.44
,1000,3.36
,1500,3.33
,2000,3.33
,,
"A3 Canvas Cream Tote Bag (42cmH x 38cmL x 8cmD, A4 logo size heat transfer on 1 side",30,7.16
,40,6.79
,50,5.4
,60,5.25
,70,5.16
,80,4.93
,90,4.8
,100,4.48
,150,4.16
,200,4.09
,250,4.05
,300,3.89
,500,3.63
,750,3.44
,1000,3.36
,1500,3.34
,2000,3.33
,,
"A3 Canvas Cream Tote Bag (42cmH x 38cmL x 8cmD, full colour heat transfer print A5 logo size front,full colour heat transfer print A5 logo size back)",30,10.09
,40,9.58
,50,9.32
,60,9.12
,70,8.74
,80,8.36
,90,8.03
,100,7.59
,150,7.05
,200,6.92
,250,6.84
,300,6.75
,500,6.5
,750,6.22
,1000,6.1
,1500,5.94
,2000,5.8
,,
"A3 Canvas Cream Tote Bag (42cmH x 38cmL x 8cmD, full colour heat transfer print A4 logo size front,full colour heat transfer print A5 logo size back)",30,12.34
,40,11.93
,50,11.34
,60,11.16
,70,11.02
,80,10.76
,90,10.24
,100,9.82
,150,9.21
,200,9.11
,250,9.04
,300,8.97
,500,8.63
,750,8.12
,1000,8.03
,1500,7.96
,2000,7.73
,,
"A3 Canvas Cream Tote Bag (42cmH x 38cmL x 8cmD, full colour heat transfer print A4 logo size front,full colour heat transfer print A4 logo size back)",30,13.59
,40,13.14
,50,12.49
,60,12.2
,70,12.05
,80,11.83
,90,11.25
,100,10.82
,150,10.16
,200,10.01
,250,9.88
,300,9.64
,500,9.2
,750,8.85
,1000,8.77
,1500,8.52
,2000,8.34
,,
"A3 Canvas Cream Tote Bag (42cmH x 38cmL x 8cmD, embroidery logo print within 6cm x 10cm)",100,6.27
,,
,,
,,
A3 Canvas Tote Bag (Cream) - 5 to 10 working days (A3 logo size),updated on,8.05.2024
"A3 Canvas Cream Tote Bag (42cmH x 38cmL x 8cmD, 
silkscreen print - 1c x 0c A3 logo size)",30,6.56
,40,5.94
,50,5.56
,60,4.99
,70,4.77
,80,4.65
,90,4.45
,100,4.06
,150,4.06
,200,3.62
,250,3.53
,300,3.34
,500,3.19
,750,3.07
,1000,2.94
,1500,2.87
,2000,2.8
,,
"A3 Canvas Cream Tote Bag (42cmH x 38cmL x 8cmD, 
silkscreen print - 2c x 0c A3 logo size)",30,7.94
,40,6.95
,50,6.34
,60,5.92
,70,5.65
,80,5.43
,90,5.19
,100,4.96
,150,4.39
,200,4.17
,250,4.06
,300,3.97
,500,3.79
,750,3.56
,1000,3.45
,1500,3.38
,2000,3.25
,,
,,
A4 Canvas Tote Bag (Black) - 5 to 10 working days,updated on,8.05.2024
"A4 Canvas Black Tote Bag (33cmH x 30cmL, No Print)",30,3.07
,40,2.71
,50,2.49
,60,2.34
,70,2.24
,80,2.16
,90,2.08
,100,1.96
,150,1.8
,200,1.75
,250,1.69
,300,1.66
,500,1.57
,750,1.46
,1000,1.42
,1500,1.4
,2000,1.37
,,
"A4 Canvas Black Tote Bag (33cmH x 30cmL, silkscreen print - 1c x 0c)",30,4.77
,40,4.17
,50,3.8
,60,3.56
,70,3.38
,80,3.25
,90,3.13
,100,2.94
,150,2.68
,200,2.56
,250,2.48
,300,2.42
,500,2.23
,750,2.06
,1000,2.01
,1500,1.99
,2000,1.96
,,
"A4 Canvas Black Tote Bag (33cmH x 30cmL, silkscreen print - 2c x 0c)",30,6.39
,40,5.63
,50,5.09
,60,4.48
,70,4.23
,80,4.06
,90,3.89
,100,3.64
,150,3.27
,200,3.09
,250,2.98
,300,2.92
,500,2.73
,750,2.49
,1000,2.42
,1500,2.39
,2000,2.35
,,
"A4 Canvas Tote Bag (Black) (33cmH x 30cmL, silkscreen print - 2c x 1c)",30,10.33
,40,7.98
,50,7.01
,60,6.62
,70,6.17
,80,5.95
,90,5.74
,100,5.49
,150,5.06
,200,4.8
,250,4.61
,300,4.51
,500,4.21
,750,3.87
,1000,3.74
,1500,3.63
,2000,3.55
,,
"A4 Canvas Tote Bag (Black) (33cmH x 30cmL, silkscreen print - 2c x 2c)",30,13.36
,40,12.39
,50,10.73
,60,9.22
,70,8.43
,80,7.59
,90,7.15
,100,6.88
,150,6.46
,200,6.19
,250,5.85
,300,5.66
,500,5.36
,750,4.98
,1000,4.62
,1500,4.22
,2000,3.79
,,
"A4 Canvas Black Tote Bag (33cmH x 30cmL, full colour heat transfer print 8cm x 8cm)",30,5.73
,40,5.17
,50,4.81
,60,4.32
,70,4.16
,80,4.04
,90,3.92
,100,3.58
,150,3.31
,200,3.19
,250,3.11
,300,2.92
,500,2.65
,750,2.45
,1000,2.38
,1500,2.35
,2000,2.32
,,
"A4 Canvas Black Tote Bag (33cmH x 30cmL, A5 logo size heat transfer on 1 side)",30,6.7
,40,6.34
,50,5.39
,60,5.24
,70,5.14
,80,4.91
,90,4.83
,100,4.47
,150,4.27
,200,4.15
,250,4.1
,300,3.92
,500,3.65
,750,3.38
,1000,3.31
,1500,3.29
,2000,3.27
,,
"A4 Canvas Black Tote Bag (33cmH x 30cmL, A4 logo size heat transfer on 1 side)",30,7.14
,40,6.77
,50,5.39
,60,5.24
,70,5.14
,80,4.91
,90,4.83
,100,4.47
,150,4.27
,200,4.15
,250,4.1
,300,3.92
,500,3.65
,750,3.38
,1000,3.31
,1500,3.29
,2000,3.27
,,
"A4 Canvas Black Tote Bag (33cmH x 30cmL, full colour heat transfer print A5 logo size front,full colour heat transfer print A5 logo size back)",30,13.53
,40,12.66
,50,11.47
,60,11.33
,70,11.31
,80,11.07
,90,11.01
,100,10.58
,150,10.58
,200,10.42
,250,10.42
,300,10.35
,500,9.06
,750,8.75
,1000,8.75
,1500,8.46
,2000,8.07
,,
"A4 Canvas Black Tote Bag (33cmH x 30cmL, full colour heat transfer print A4 logo size front,full colour heat transfer print A5 logo size back)",30,15.72
,40,15.08
,50,13.95
,60,13.62
,70,13.53
,80,13.48
,90,13.3
,100,13.27
,150,12.97
,200,12.72
,250,12.53
,300,12.41
,500,11.12
,750,10.5
,1000,9.99
,1500,9.54
,2000,9.45
,,
"A4 Canvas Black Tote Bag (33cmH x 30cmL, full colour heat transfer print A4 logo size front,full colour heat transfer print A4 logo size back)",30,16.22
,40,15.49
,50,14.31
,60,13.95
,70,13.85
,80,13.77
,90,13.71
,100,13.76
,150,13.76
,200,13.76
,250,13.13
,300,12.61
,500,11.38
,750,10.73
,1000,10.35
,1500,10.1
,2000,9.72
,,
,,
A3 Canvas Tote Bag (Black) - 5 to 10 working days (A4 logo size),updated on,08.05.2024
"A3 Canvas Black Tote Bag (42cmH x 38cmL x 8cmD, No Print)",30,3.35
,40,3
,50,2.79
,60,2.65
,70,2.55
,80,2.47
,90,2.41
,100,2.27
,150,2.13
,200,2.13
,250,2.08
,300,2.04
,500,2
,750,1.88
,1000,1.81
,1500,1.86
,2000,1.71
,,
"A3 Canvas Black Tote Bag (42cmH x 38cmL x 8cmD, silkscreen print - 1c x 0c)",30,4.97
,40,4.39
,50,4.04
,60,3.81
,70,3.64
,80,3.52
,90,3.42
,100,3.21
,150,2.97
,200,2.92
,250,2.84
,300,2.79
,500,2.65
,750,2.5
,1000,2.42
,1500,2.35
,2000,2.29
,,
"A3 Canvas Black Tote Bag (42cmH x 38cmL x 8cmD, silkscreen print - 2cx 0c)",30,6.32
,40,5.51
,50,5.02
,60,4.69
,70,4.46
,80,4.29
,90,4.15
,100,3.87
,150,3.54
,200,3.45
,250,3.35
,300,3.28
,500,3.16
,750,2.95
,1000,2.83
,1500,2.77
,2000,2.67
,,
"A3 Canvas Tote Bag (Black) (42cmH x 38cmL x 8cmD, silkscreen print - 2c x 1c 
within A4 logo size)",30,9.97
,40,8.72
,50,7.96
,60,7.46
,70,7.09
,80,6.83
,90,6.51
,100,6.2
,150,5.69
,200,5.47
,250,5.3
,300,5.19
,500,4.93
,750,4.68
,1000,4.51
,1500,4.41
,2000,4.33
,,
"A3 Canvas Tote Bag (Black) (42cmH x 38cmL x 8cmD, silkscreen print - 2c x 2c 
within A4 logo size)",30,12.48
,40,10.89
,50,10.08
,60,9.44
,70,8.98
,80,8.64
,90,8.24
,100,7.84
,150,7.21
,200,6.92
,250,6.71
,300,6.58
,500,6.24
,750,5.91
,1000,5.69
,1500,5.53
,2000,5.27
,,
"A3 Canvas Black Tote Bag (42cmH x 38cmL x 8cmD, full colour heat transfer print 
8cm x 8cm)",30,5.89
,40,5.36
,50,4.76
,60,4.55
,70,4.39
,80,4.28
,90,4.19
,100,3.82
,150,3.59
,200,3.55
,250,3.48
,300,3.29
,500,3.09
,750,2.91
,1000,2.8
,1500,2.74
,2000,2.66
,,
"A3 Canvas Black Tote Bag (42cmH x 38cmL x 8cmD, full colour heat transfer print 
A5 size 1 side)",30,6.82
,40,6.47
,50,5.57
,60,5.43
,70,5.33
,80,5.11
,90,5.05
,100,4.67
,150,4.51
,200,4.51
,250,4.45
,300,4.28
,500,4.1
,750,3.88
,1000,3.76
,1500,3.66
,2000,3.6
,,
"A3 Canvas Black Tote Bag (42cmH x 38cmL x 8cmD, full colour heat transfer print 
A4 size 1 side)",30,7.23
,40,6.88
,50,5.57
,60,5.43
,70,5.33
,80,5.11
,90,5.05
,100,4.67
,150,4.51
,200,4.51
,250,4.45
                                                                                                                                                                  ,300,4.28
,500,4.1
,750,3.88
,1000,3.76
,1500,3.66
,2000,3.6
,,
"A3 Canvas Tote Bag (Black) (42cmH x 38cmL x 8cmD, full colour heat transfer print A5 logo size front,full colour heat transfer print A5 logo size back)",30,11.65
,40,11.06
,50,10.76
,60,10.53
,70,10.09
,80,9.65
,90,9.27
,100,8.76
,150,8.14
,200,7.99
,250,7.9
,300,7.79
,500,7.5
,750,7.18
,1000,7.04
,1500,6.86
,2000,6.7
,,
"A3 Canvas Tote Bag (Black)  (42cmH x 38cmL x 8cmD, full colour heat transfer print A4 logo size front,full colour heat transfer print A5 logo size back)",30,14.25
,40,13.77
,50,13.09
,60,12.88
,70,12.72
,80,12.42
,90,11.82
,100,11.34
,150,10.63
,200,10.52
,250,10.44
,300,10.36
,500,9.96
,750,9.37
,1000,9.27
,1500,9.19
,2000,8.92
,,
"A3 Canvas Tote Bag (Black) (42cmH x 38cmL x 8cmD, full colour heat transfer print A4 logo size front,full colour heat transfer print A4 logo size back)",30,15.83
,40,15.3
,50,14.54
,60,14.21
,70,14.03
,80,13.78
,90,13.1
,100,12.6
,150,11.83
,200,11.66
,250,11.51
,300,11.23
,500,10.71
,750,10.31
,1000,10.21
,1500,9.92
,2000,9.71
,,
,,
A3 Canvas Tote Bag (Black) - 5 to 10 working days (A3 logo size),updated on,08.05.2024
"A3 Canvas Black Tote Bag (42cmH x 38cmL x 8cmD, 
silkscreen print - 1c x 0c A3 logo size)",30,7.04
,40,6.38
,50,5.97
,60,5.36
,70,5.12
,80,4.99
,90,4.78
,100,4.36
,150,4.36
,200,3.89
,250,3.79
,300,3.59
,500,3.42
,750,3.3
,1000,3.16
,1500,3.08
,2000,3.01
,,
"A3 Canvas Black Tote Bag (42cmH x 38cmL x 8cmD, 
silkscreen print - 2c x 0c A3 logo size)",30,8.57
,40,7.5
,50,6.84
,60,6.39
,70,6.1
,80,5.86
,90,5.6
,100,5.35
,150,4.74
,200,4.5
,250,4.38
,300,4.29
,500,4.09
,750,3.84
,1000,3.72
,1500,3.65
,2000,3.51
,,
,,
Landscape Canvas Tote Bag - 5 to 10 working days,created on,08.07.2024
"Landscape Canvas Tote Bag (33cmH x 43cmL x 10cmD, No Print)",30,4.63
,40,4.5
,50,4.41
,60,4.25
,70,4.16
,80,4.03
,90,3.94
,100,3.85
,150,3.7
,200,3.56
,250,3.44
,300,3.18
,500,2.99
,750,2.82
,1000,2.7
,1500,2.61
,2000,2.5
"Landscape Canvas Tote Bag (33cmH x 43cmW x 10cmD, 
 silkscreen print - 1c x 0)",,
,30,6.23
,40,6.06
,50,5.93
,60,5.72
,70,5.6
,80,5.42
,90,5.3
,100,5.18
,150,4.98
,200,4.79
,250,4.63
,300,4.28
,500,4.02
,750,3.79
,1000,3.63
,1500,3.51
,2000,3.36
,,
"Landscape Canvas Tote Bag (33cmH x 43cmW x 10cmD, 
 silkscreen print - 2c x 0)",30,9.07
,40,8.17
,50,7.35
,60,6.87
,70,6.5
,80,6.2
,90,5.93
,100,5.71
,150,5.2
,200,4.85
,250,4.79
,300,4.63
,500,4.5
,750,4.32
,1000,4.09
,1500,3.98
,2000,3.83
,,
"Landscape Canvas Tote Bag (33cmH x 43cmW x 10cmD, 
 silkscreen print - 1c x 0)",30,7.2
,40,7
,50,6.86
,60,6.61
,70,6.47
,80,6.27
,90,6.13
,100,5.99
,150,5.76
,200,5.54
,250,5.35
,300,4.95
,500,4.68
,750,4.42
,1000,4.23
,1500,4.09
,2000,3.92
,,
"Landscape Canvas Tote Bag (33cmH x 43cmW x 10cmD, 
 silkscreen print - 2c x 0)",30,10.45
,40,9.4
,50,8.5
,60,7.94
,70,7.52
,80,7.17
,90,6.86
,100,6.6
,150,6.01
,200,5.61
,250,5.54
,300,5.35
,500,5.24
,750,5.03
,1000,4.76
,1500,4.63
,2000,4.46
,,
"Landscape Canvas Tote Bag ( (33cmH x 43cmW x 10cmD, 
Full colour heat transfer print A4 logo size front)",30,10.69
,40,10.17
,50,8.74
,60,8.61
,70,8.34
,80,8.19
,90,8.05
,100,7.59
,150,7.22
,200,6.9
,250,6.68
,300,6.45
,500,6.17
,750,5.96
,1000,5.7
,1500,5.54
,2000,5.29
,,
"Landscape Canvas Tote Bag (33cmH x 43cmW x 10cmD, Full colour heat transfer print A4 logo size front, 1c silkscreen A4 logo size back)",30,12.14
,40,11.55
,50,9.93
,60,9.78
,70,9.47
,80,9.3
,90,9.14
,100,8.62
,150,8.2
,200,7.84
,250,7.59
,300,7.33
,500,7.01
,750,6.77
,1000,6.47
,1500,6.29
,2000,6.01
,,
"Landscape Canvas Tote Bag (33cmH x 43cmW x 10cmD, Full colour heat transfer print A4 logo size on both sides)",30,13.91
,40,13.12
,50,12.21
,60,11.44
,70,10.89
,80,10.51
,90,10.33
,100,9.82
,150,9.39
,200,8.97
,250,8.68
,300,8.46
,500,8.12
,750,7.86
,1000,7.51
,1500,7.3
,2000,6.97
,,
"Urgent Landscape Canvas Tote Bag (33cmH x 43cmL x 10cmD, 
 heat transfer print - 8cm x 8cm)",30,7.74
,40,7.62
,50,6.71
,60,6.59
,70,6.45
,80,6.19
,90,6.06
,100,5.58
,150,5.33
,200,5.24
,250,5.11
,300,4.89
,500,4.66
,750,4.4
,1000,4.13
,1500,3.96
,2000,3.84
,,
"Urgent Landscape Canvas Tote Bag (33cmH x 43cmL x 10cmD, 
 heat transfer print - A5 size)",30,9.36
,40,8.9
,50,8.53
,60,8.31
,70,8.05
,80,7.91
,90,7.77
,100,7.43
,150,7.21
,200,6.55
,250,6.34
,300,6.12
,500,5.85
,750,5.65
,1000,5.41
,1500,5.26
,2000,5.02
,,
,,
EcoChic Laminated Canvas Bag - 5 to 10 working days,updated on,08.08.2024
"EcoChic Laminated Canvas Bag (35cmH x 40cmW x 15cmD, No Print)",30,7.89
,40,7.48
,50,7.11
,60,6.95
,70,6.83
,80,6.64
,90,6.57
,100,6.52
,150,6.47
,200,6.24
,250,6.22
,300,5.95
,500,5.69
,750,5.44
,1000,5.16
,1500,5.03
,2000,4.89
,,
"EcoChic Laminated Canvas Bag (35cmH x 40cmW x 15cmD, 
 silkscreen print - 1c x 0c on laminated canvas)",30,10.87
,40,9.83
,50,9.19
,60,8.43
,70,8.27
,80,7.84
,90,7.61
,100,6.67
,150,6.34
,200,6.08
,250,5.99
,300,5.85
,500,5.51
,750,5.37
,1000,5.21
,1500,5.12
,2000,4.99
,,
"EcoChic Laminated Canvas Bag (35cmH x 40cmW x 15cmD, 
 silkscreen print - 2c x 0c on laminated canvas)",30,13.14
,40,11.21
,50,10.63
,60,10.21
,70,10.05
,80,9.37
,90,8.96
,100,7.55
,150,7.06
,200,6.73
,250,6.64
,300,6.47
,500,6.21
,750,6.13
,1000,5.93
,1500,5.77
,2000,5.56
,,
"EcoChic Laminated Canvas Bag (35cmH x 40cmW x 15cmD, 
 heat trasnfer print - 8cm x 8cm on laminated canvas)",30,9.54
,40,9.25
,50,8.46
,60,8.32
,70,8.19
,80,8.07
,90,7.93
,100,7.36
,150,7.01
,200,6.7
,250,6.52
,300,6.33
,500,6.17
,750,6.06
,1000,5.9
,1500,5.75
,2000,5.49
,,
"EcoChic Laminated Canvas Bag (35cmH x 40cmW x 15cmD, 
 heat trasnfer print - A5 size on laminated canvas)",30,10.65
,40,10.33
,50,9.53
,60,9.37
,70,9.23
,80,9.09
,90,8.94
,100,8.43
,150,8.17
,200,7.93
,250,7.6
,300,7.34
,500,7.13
,750,6.95
,1000,6.49
,1500,6.16
,2000,6.02
,,
"EcoChic Laminated Canvas Bag (35cmH x 40cmW x 15cmD, 
 heat trasnfer print - A4 size on laminated canvas)",30,11.74
,40,11.12
,50,10.63
,60,10.45
,70,10.29
,80,10.14
,90,9.96
,100,9.4
,150,9.11
,200,8.84
,250,8.47
,300,8.18
,500,7.95
,750,7.75
,1000,7.24
,1500,6.87
,2000,6.71
,,
,,
A4 Non Woven Bags - 5 to 10 working days,updated on,08.08.2024
"A4 Non Woven Bag (35.5cmH x 28cmL x 8.9cmD, no logo print)",30,2.24
,40,1.87
,50,1.64
,60,1.5
,70,1.42
,80,1.35
,90,1.3
,100,1.22
,150,1.11
,200,1.05
,250,0.99
,300,0.92
,500,0.84
,750,0.78
,1000,0.73
,1500,0.7
,2000,0.68
,,
"A4 Non Woven Bag (35.5cmH x 28cmL x 8.9cmD, silkscreen print - 1c x 0c)",30,3.86
,40,3.28
,50,2.95
,60,2.73
,70,2.6
,80,2.45
,90,2.34
,100,2.17
,150,1.99
,200,1.89
,250,1.81
,300,1.7
,500,1.54
,750,1.43
,1000,1.32
,1500,1.26
,2000,1.21
,2500,1.16
,3000,1.12
,4000,1.08
,,
"A4 Non Woven Bag (35.5cmH x 28cmL x 8.9cmD, silkscreen print - 2c x 0c)",30,5.22
,40,4.4
,50,3.97
,60,3.65
,70,3.42
,80,3.27
,90,3.1
,100,2.85
,150,2.68
,200,2.57
,250,2.39
,300,2.25
,500,2.09
,750,1.95
,1000,1.77
,1500,1.64
,2000,1.58
,3000,1.53
,4000,1.5
,,
"A4 Non Woven Bag (35.5cmH x 28cmL x 8.9cmD, silkscreen print - 2c x 1c)",30,7.47
,40,5.96
,50,5.26
,60,4.79
,70,4.6
,80,4.33
,90,4.12
,100,3.95
,150,3.19
,200,2.96
,250,2.86
,300,2.65
,500,2.31
,750,2.14
,1000,1.92
,1500,1.87
,2000,1.82
,,
"A4 Non Woven Bag (35.5cmH x 28cmL x 8.9cmD, silkscreen print - 2c x 2c)",30,9.29
,40,7.8
,50,6.73
,60,6.21
,70,5.7
,80,5.32
,90,4.94
,100,4.68
,150,3.95
,200,3.73
,250,3.51
,300,3.24
,500,2.86
,750,2.61
,1000,2.48
,1500,2.26
,2000,2.13
,,
"A4 Non Woven Bag (35.5cmH x 28cmL x 8.9cmD, silkscreen print - 1c x 0c)",30,4.98
,40,4.24
,50,3.81
,60,3.53
,70,3.36
,80,3.16
,90,3.02
,100,2.8
,150,2.57
,200,2.44
,250,2.34
,300,2.2
,500,1.99
,750,1.85
,1000,1.72
,1500,1.63
,2000,1.56
,,
"A4 Non Woven Bag (35.5cmH x 28cmL x 8.9cmD, silkscreen print - 2c x 0c)",30,7.19
,40,5.83
,50,5.26
,60,4.84
,70,4.53
,80,4.33
,90,4.11
,100,3.78
,150,3.55
,200,3.41
,250,3.17
,300,2.98
,500,2.77
,750,2.59
,1000,2.35
,1500,2.17
,2000,2.09
,,
"A4 Non Woven Bag (35.5cmH x 28cmL x 8.9cmD, 
A5 logo full colour heat transfer print size on 1 side)",30,6.89
,40,6.53
,50,6.02
,60,5.89
,70,5.78
,80,5.66
,90,5.6
,100,5.23
,150,5.23
,200,5.19
,250,5.14
,300,4.92
,500,4.7
,750,4.38
,1000,4.15
,1500,4.07
,2000,3.98
,,
,30,9.32
"A4 Non Woven Bag (35.5cmH x 28cmL x 8.9cmD, 
A4 logo full colour heat transfer print size on 1 side)",40,8.99
,50,8.43
,60,8.29
,70,8.29
,80,8.05
,90,7.97
,100,7.86
,150,7.78
,200,7.78
,250,7.71
,300,7.54
,378,7.32
,500,7.18
,750,6.69
,1000,6.32
,1500,6.18
,2000,6.04
,,
"A4 Non Woven Bag (35.5cmH x 28cmL x 8.9cmD, full colour heat transfer print A5 logo size front,full colour heat transfer print A5 logo size back)",30,10.03
,40,9.97
,50,9.84
,60,9.75
,70,9.57
,80,9.37
,90,9.27
,100,8.66
,150,8.66
,200,8.6
,250,8.51
,300,8.15
,500,7.78
,750,7.52
,1000,7.12
,1500,6.98
,2000,6.83
,,
